year,price,origin,destination,distance
"May
2009",598.29,BNA,ATL,214
"Aug
2009",334.89,BNA,ATL,214
"Feb
2010",279,BNA,ATL,214
"Mar
2010",290.65,BNA,ATL,214
"Mar
2010",290.65,BNA,ATL,214
year,price,origin,destination,distance
"Nov
2020",147.56,BNA,BOS,942
"Nov
2020",262.26,BNA,BOS,942
"Dec
2020",89.76,BNA,BOS,942
"Dec
2020",507.18,BNA,BOS,942
"Jan
2021",116.08,BNA,BOS,942
"Jan
2021",77.16,BNA,BOS,942
"Jan
2021",95.16,BNA,BOS,942
"Feb
2021",82.39,BNA,BOS,942
"Feb
2021",82.39,BNA,BOS,942
"Mar
2021",93.39,BNA,BOS,942
"Mar
2021",122.38,BNA,BOS,942
"Apr
2021",100.39,BNA,BOS,942
"Apr
2021",135.38,BNA,BOS,942
"May
2021",460.48,BNA,BOS,942
"May
2021",207.36,BNA,BOS,942
"Jun
2021",208.86,BNA,BOS,942
"Jun
2021",319.85,BNA,BOS,942
"Jul
2021",346.86,BNA,BOS,942
"Jul
2021",287.85,BNA,BOS,942
"Aug
2021",314.85,BNA,BOS,942
"Aug
2021",141.38,BNA,BOS,942
year,price,origin,destination,distance
"Nov
2020",124.16,BNA,BWI,587
"Nov
2020",112.18,BNA,BWI,587
"Nov
2020",154.67,BNA,BWI,587
"Dec
2020",113.26,BNA,BWI,587
"Dec
2020",152.2,BNA,BWI,587
"Jan
2021",84.18,BNA,BWI,587
"Jan
2021",84.18,BNA,BWI,587
"Jan
2021",380.78,BNA,BWI,587
"Jan
2021",77.16,BNA,BWI,587
"Feb
2021",90.72,BNA,BWI,587
"Feb
2021",76.67,BNA,BWI,587
"Feb
2021",76.18,BNA,BWI,587
"Feb
2021",85.54,BNA,BWI,587
"Mar
2021",118.58,BNA,BWI,587
"Mar
2021",86.79,BNA,BWI,587
"Mar
2021",106.11,BNA,BWI,587
"Apr
2021",92.39,BNA,BWI,587
"Apr
2021",128.38,BNA,BWI,587
"May
2021",74.58,BNA,BWI,587
"May
2021",193.37,BNA,BWI,587
"Jun
2021",303.41,BNA,BWI,587
"Jun
2021",181.56,BNA,BWI,587
"Jul
2021",214.36,BNA,BWI,587
"Jul
2021",397.36,BNA,BWI,587
"Jul
2021",204.37,BNA,BWI,587
"Sep
2021",194.36,BNA,BWI,587
"Sep
2021",77.39,BNA,BWI,587
year,price,origin,destination,distance
"Nov
2020",171.66,BNA,CLT,328
"Dec
2020",160.66,BNA,CLT,328
"Jan
2021",99.66,BNA,CLT,328
"Jan
2021",2903.24,BNA,CLT,328
"Jan
2021",99.66,BNA,CLT,328
"Feb
2021",119.88,BNA,CLT,328
"Mar
2021",173.87,BNA,CLT,328
"Mar
2021",123.88,BNA,CLT,328
"Mar
2021",230.88,BNA,CLT,328
"Apr
2021",211.87,BNA,CLT,328
"May
2021",1014.48,BNA,CLT,328
"May
2021",99.89,BNA,CLT,328
"May
2021",248.86,BNA,CLT,328
"May
2021",505.85,BNA,CLT,328
"Jun
2021",288.85,BNA,CLT,328
"Jul
2021",308.86,BNA,CLT,328
"Jul
2021",298.86,BNA,CLT,328
"Jul
2021",623.86,BNA,CLT,328
"Aug
2021",244.85,BNA,CLT,328
"Aug
2021",244.85,BNA,CLT,328
"Aug
2021",406.85,BNA,CLT,328
"Oct
2021",313.84,BNA,CLT,328
year,price,origin,destination,distance
"Nov
2020",666.2,BNA,DAL,623
"Nov
2020",1806.11,BNA,DAL,623
"Jan
2021",2603.02,BNA,DAL,623
"Apr
2021",279.59,BNA,DAL,623
"May
2021",472.39,BNA,DAL,623
"May
2021",422.4,BNA,DAL,623
"Jun
2021",378.8,BNA,DAL,623
"Jul
2021",912.6,BNA,DAL,623
"Jul
2021",552.39,BNA,DAL,623
"Aug
2021",482.41,BNA,DAL,623
"Aug
2021",472.4,BNA,DAL,623
"Sep
2021",1188.01,BNA,DAL,623
year,price,origin,destination,distance
"Nov
2020",386.2,BNA,DCA,562
"Nov
2020",502.29,BNA,DCA,562
"Dec
2020",335.2,BNA,DCA,562
"Dec
2020",414.2,BNA,DCA,562
"Mar
2021",519.4,BNA,DCA,562
"Mar
2021",355.76,BNA,DCA,562
"Apr
2021",600.41,BNA,DCA,562
"Apr
2021",401.58,BNA,DCA,562
"May
2021",948,BNA,DCA,562
"Jun
2021",445.99,BNA,DCA,562
"Jul
2021",400.38,BNA,DCA,562
"Sep
2021",536.58,BNA,DCA,562
year,price,origin,destination,distance
"Jun
2021",252.36,BNA,DEN,1013
"Jul
2021",283.46,BNA,DEN,1013
"Jul
2021",270.36,BNA,DEN,1013
"Jul
2021",247.39,BNA,DEN,1013
"Aug
2021",210.91,BNA,DEN,1013
"Sep
2021",129.98,BNA,DEN,1013
"Oct
2021",109.34,BNA,DEN,1013
year,price,origin,destination,distance
"Nov
2020",197.16,BNA,DFW,631
"Nov
2020",159.54,BNA,DFW,631
