year,price,origin,destination,distance
"Nov
2020",91.16,BOS,ATL,946
"Nov
2020",118.67,BOS,ATL,946
"Dec
2020",199.67,BOS,ATL,946
"Dec
2020",104.16,BOS,ATL,946
"Dec
2020",113.38,BOS,ATL,946
"Jan
2021",63.16,BOS,ATL,946
"Jan
2021",63.16,BOS,ATL,946
"Feb
2021",84.67,BOS,ATL,946
"Feb
2021",114.18,BOS,ATL,946
"Mar
2021",82.39,BOS,ATL,946
"Mar
2021",113.54,BOS,ATL,946
"Apr
2021",92.39,BOS,ATL,946
"May
2021",146.69,BOS,ATL,946
"May
2021",93.35,BOS,ATL,946
"Jun
2021",296.37,BOS,ATL,946
"Jul
2021",218.36,BOS,ATL,946
"Jul
2021",175.55,BOS,ATL,946
"Jul
2021",200.76,BOS,ATL,946
"Aug
2021",110.96,BOS,ATL,946
"Aug
2021",119.15,BOS,ATL,946
"Sep
2021",172.57,BOS,ATL,946
"Oct
2021",179.37,BOS,ATL,946
year,price,origin,destination,distance
"Nov
2020",183.16,BOS,BNA,942
"Nov
2020",147.56,BOS,BNA,942
"Dec
2020",236.2,BOS,BNA,942
"Dec
2020",80.16,BOS,BNA,942
"Dec
2020",155.16,BOS,BNA,942
"Jan
2021",133.16,BOS,BNA,942
"Feb
2021",101.16,BOS,BNA,942
"Feb
2021",96.16,BOS,BNA,942
"Feb
2021",83.39,BOS,BNA,942
"Mar
2021",84.39,BOS,BNA,942
"Apr
2021",94.87,BOS,BNA,942
"Apr
2021",148.76,BOS,BNA,942
"May
2021",389.97,BOS,BNA,942
"May
2021",256.97,BOS,BNA,942
"Jun
2021",294.36,BOS,BNA,942
"Jun
2021",286.36,BOS,BNA,942
"Jul
2021",250.36,BOS,BNA,942
"Jul
2021",191.36,BOS,BNA,942
"Aug
2021",280.36,BOS,BNA,942
"Aug
2021",146.04,BOS,BNA,942
"Aug
2021",227.35,BOS,BNA,942
"Oct
2021",93.23,BOS,BNA,942
year,price,origin,destination,distance
"Nov
2020",103.67,BOS,BWI,369
"Nov
2020",64.18,BOS,BWI,369
"Nov
2020",125.18,BOS,BWI,369
"Dec
2020",157.66,BOS,BWI,369
"Dec
2020",118.07,BOS,BWI,369
"Dec
2020",64.18,BOS,BWI,369
"Dec
2020",52.18,BOS,BWI,369
"Dec
2020",64.18,BOS,BWI,369
"Jan
2021",81.36,BOS,BWI,369
"Jan
2021",72.18,BOS,BWI,369
"Feb
2021",81.36,BOS,BWI,369
"Feb
2021",195.18,BOS,BWI,369
"Mar
2021",85.18,BOS,BWI,369
"Mar
2021",107.59,BOS,BWI,369
"Apr
2021",136.75,BOS,BWI,369
"Apr
2021",195.18,BOS,BWI,369
"May
2021",44.8,BOS,BWI,369
"May
2021",44.8,BOS,BWI,369
"May
2021",195.76,BOS,BWI,369
"May
2021",202.09,BOS,BWI,369
"Jun
2021",182.94,BOS,BWI,369
"Jun
2021",205.94,BOS,BWI,369
"Jun
2021",131.15,BOS,BWI,369
"Jul
2021",176.94,BOS,BWI,369
"Jul
2021",148.76,BOS,BWI,369
"Aug
2021",148.76,BOS,BWI,369
"Aug
2021",344.36,BOS,BWI,369
"Aug
2021",220.37,BOS,BWI,369
"Aug
2021",50.07,BOS,BWI,369
year,price,origin,destination,distance
"Nov
2020",139.66,BOS,CLT,728
